Port,longitude,latitude
CIENFUEGOS,-80.27,22.09
NUEVA GERONA,-82.48,21.55
GEORGETOWN,-81.23,19.18
CAYMAN BRAC,-79.45,19.45
LUCEA,-78.1,18.27
MONTEGO BAY,-77.56,18.28
FALMOUTH,-77.39,18.29
RIO BUENO,-77.28,18.28
OCHO RIOS,-77.07,18.25
PORT ANTONIO,-76.27,18.11
KINGSTON,-76.47,17.58
PORT ESQUIVEL,-77.08,17.53
ROCKY POINT,-77.09,17.49
PORT KAISER,-77.36,17.52
SAVANNAH LA MAR,-78.08,18.12
JACMEL,-72.32,18.14
MIRAGOANE,-73.05,18.27
PETIT GOAVE,-72.52,18.26
PORT AU PRINCE,-72.21,18.33
CAP HAITIEN,-72.12,19.46
PEPILLO SALCEDO,-71.45,19.42
PUERTO PLATA,-70.42,19.48
SANTA BARBARA DE SAMANA,-69.2,19.12
PUERTO BOTADO,-69.27,19.12
SANCHEZ,-69.37,19.14
LA ROMANA,-68.58,18.25
SAN PEDRO DE MACORIS,-69.19,18.27
ANDRES (ANDRES LGN TERMINAL),-69.38,18.26
SANTO DOMINGO,-69.53,18.28
PUERTO DE HAINA,-70.01,18.25
PUNTA NIZAO OIL TERMINAL,-70.12,18.12
LAS CALDERAS,-70.31,18.13
PUERTO VIEJO DE AZUA,-70.5,18.21
SANTA CRUZ DE BARAHONA,-71.05,18.12
CABO ROJO,-71.39,17.55
AGUADILLA,-67.09,18.26
ARECIBO,-66.42,18.29
SAN JUAN,-66.07,18.28
BAHIA DE FAJARDO,-65.38,18.2
ENSENADA HONDA,-65.38,18.14
PLAYA DE HUMACAO,-65.45,18.1
PUERTO YABUCOA,-65.5,18.03
ARROYO,-66.04,17.58
BAHIA DE JOBOS,-66.11,17.57
LAS MAREAS,-66.1,17.57
PLAYA DE PONCE,-66.37,17.59
PLAYA DE GUAYANILLA,-66.46,18.01
PLAYA DE GUANICA,-66.55,17.58
MAYAGUEZ,-67.09,18.12
CHARLOTTE AMALIE,-64.56,18.21
CRUZ BAY,-64.48,18.2
